GETAFE,Getafe,1
ELCHE,Elche,1
ATHLETIC CLUB,Ath Bilbao,1
LEVANTE,Levante,1
BETIS,Betis,1
BARCELONA,Barcelona,1
ESPANYOL,Espanyol,1
SEVILLA,Sevilla,1
CELTA,Celta Vigo,1
RAYO VALLECANO,Rayo Vallecano,1
R. MADRID,Real Madrid,1
R. SOCIEDAD,Real Sociedad,1
VALENCIA,Valencia,1
VALLADOLID,Valladolid,1
AT. MADRID,Atl. Madrid,1
VILLARREAL,Villarreal,1
GRANADA,Granada CF,1
ALMERIA,Almeria,1
OSASUNA,Osasuna,1
MALAGA,Malaga,1
RECREATIVO,Recreativo Huelva,2
DEPORTIVO,Dep. La Coruna,2
TENERIFE,Tenerife,2
EIBAR,Eibar,2
ZARAGOZA,Zaragoza,2
NUMANCIA,Numancia,2
MIRANDES,Mirandes,2
GIRONA,Girona,2
ALCORCON,Alcorcon,2
CORDOBA,Cordoba,2
SPORTING,Gijon,2
SABADELL,Sabadell,2
LUGO,Lugo,2
MURCIA,Murcia,2
PONFERRADINA,Ponferradina,2
MALLORCA,Mallorca,2
ALAVES,Alaves,2
JAEN,Jaen,2
HERCULES,Hercules,2
LAS PALMAS,Las Palmas,2
